======================================================================
CAPTURA DE TRÁFEGO MTA
======================================================================

Servidor: 94.23.158.180
Porta MTA: 22003
IPv4 local: 192.168.18.2
Interface Scapy: \Device\NPF_{A53A13E5-54FE-4F67-8537-8D554F42DF25}
Tempo: 79.46 segundos
Pacotes: 10739
Motivo: gta_sa.exe foi encerrado

======================================================================
LISTA DE PACOTES
======================================================================

000062 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=  105 | payload=   63
000063 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000064 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=  131 | payload=   89
000065 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   68 | payload=   26
000066 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000067 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   76 | payload=   34
000068 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000069 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   76 | payload=   34
000070 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000071 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000072 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  158 | payload=  116
000073 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=  114 | payload=   72
000074 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000075 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000076 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   62 | payload=   20
000077 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000078 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000079 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000080 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000081 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000082 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000083 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000084 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000085 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000086 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000087 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  101 | payload=   59
000088 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000089 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000090 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000091 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000092 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000093 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000094 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000095 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   87 | payload=   45
000096 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000097 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000098 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000099 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000100 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000101 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000102 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000103 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000104 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000105 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000106 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000107 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000108 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000109 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000110 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000111 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000112 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000113 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000114 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000115 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000116 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=  110 | payload=   68
000117 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000118 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000119 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000120 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000121 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000122 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   67 | payload=   25
000123 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
