
================================================================================
PREFIXOS DE 1 BYTE(S)
================================================================================
         2x  10 97
         2x  19 E8

================================================================================
PREFIXOS DE 3 BYTE(S)
================================================================================
         2x  C1 A1 DD
         2x  CB 56 D8
         2x  8F AF 3C
         2x  5C 8D 64
         2x  47 45 54
         2x  48 54 54
         2x  2B FD 37
         1x  09 04 D1
         1x  45 59 45
         1x  0A 00 FF
         1x  60 59 29
         1x  09 A9 23
         1x  16 03 01
         1x  78 A2 20
         1x  F2 CA 3A
         1x  A0 EC BE
         1x  80 4D 95
         1x  CE 19 84
         1x  47 E3 E1
         1x  D4 5F 6C
         1x  8D E2 AE
         1x  FC 86 42
         1x  98 7A D3
         1x  9F 6B D6
         1x  5C EB AE
         1x  BB B5 DD
         1x  B5 4B 92
         1x  DE C2 52
         1x  08 C9 A9
         1x  5D 55 90
         1x  4C EF 2D
         1x  75 9D 49
         1x  4C CE F1
         1x  56 75 FE
         1x  C2 E3 F1
         1x  F7 31 9B
         1x  B1 96 22
         1x  A8 07 BB
         1x  AD CF F4
         1x  FA 7B E9
         1x  C0 1A 68
         1x  31 B0 EB
         1x  F7 C2 BF
         1x  2C E9 B3
         1x  5B D0 A6
         1x  56 AF DB
         1x  75 44 02
         1x  51 CC 3C
         1x  08 AE 87
         1x  3A 14 B7
         1x  BA F1 DC
         1x  85 00 0C
         1x  2B 38 3E
         1x  1F FE CC
         1x  44 7D 99
         1x  C9 31 29
         1x  D0 25 B1
         1x  95 C1 24
         1x  AC 36 0F
         1x  0A 3B 5E
         1x  2C F4 0D
         1x  56 D2 4A
         1x  DF 78 1C
         1x  3E 7A F5
         1x  10 58 06
         1x  78 CF B7
         1x  AD CD C7
         1x  A6 CA 45
         1x  E4 27 47
         1x  55 53 33
         1x  69 60 EC
         1x  CD 43 DE
         1x  77 0F 49
         1x  B7 E9 B3
         1x  B3 5E 0C
         1x  10 69 12
         1x  E6 AC D7
         1x  3E 6E 98
         1x  94 6F 4D
         1x  B2 77 49
         1x  9B FD C8
         1x  62 50 43
         1x  8D B7 C6
         1x  E5 C5 BB
         1x  2D CE 8B
         1x  A1 5B 87
         1x  18 94 A6
         1x  9F 20 DA
         1x  9F 5F B6
         1x  5C 35 1F
         1x  2D D0 68
         1x  A5 A8 03
         1x  EA BD 5A
         1x  F4 76 DC
         1x  CA 8A 7D
         1x  27 B8 09
         1x  E1 FD DE
         1x  0B 41 38
         1x  2C 70 2A
         1x  68 F2 25
         1x  CB 1E E0
         1x  FF C0 1F
         1x  46 39 85
         1x  D5 38 76
         1x  5B 11 5D
         1x  8B 45 0E
