protocol,server,server_port,client,client_port,packet_count,s2c_packets,c2s_packets,s2c_bytes,c2s_bytes,total_bytes,duration,s2c_ratio,candidate,entropy,ascii_ratio,sha256
UDP,94.23.158.180,22003,192.168.18.2,62714,10716,6361,4355,4218506,107875,4326381,68.372020,0.975066,True,7.999960157476918,0.38288270776431277,febf4b08266cc25fbac58a41c0c0beb9750c4bd5ff4f838c15eeee78bee78ff9
TCP,94.23.158.180,80,192.168.18.2,52887,16,9,7,10611,339,10950,53.057509,0.969041,True,7.939531039841763,0.41541796249175383,b53c4e19b67dcf30ad60a7c5b1ec21aec86e18e1f94a5c0883daf8ec0fa95814
