=== CORRELAÇÃO S2C -> C2S ===

   C2S #000109 len=68 dt=270.43ms E3 92 F5 9E 83 C7 4B 18 0A 0C E9 7A C8 D0 50 3E

S2C #000095 len=1165 -> respostas:
   C2S #000096 len=17 dt=2.03ms FF C0 1F B7 1D C9 8F 7F 05 C4 06 FC 12 75 A8 1C
   C2S #000099 len=17 dt=56.52ms 5B 11 5D 24 F1 76 2C 00 F0 3B 0C F8 83 A8 AE A7
   C2S #000101 len=55 dt=96.35ms D0 E0 D4 BC BB AE C3 DD CD 7C 8E 46 08 66 1A 2C
   C2S #000103 len=17 dt=110.41ms 82 45 CB EB 8E 9B BB 97 39 93 88 33 47 1E 71 FD
   C2S #000104 len=45 dt=134.61ms 2A DE FC A9 5A 56 63 6D 9E 3C 24 BE B4 87 BF AB
   C2S #000106 len=17 dt=158.45ms DE E8 96 18 C9 51 EF 08 FC 37 99 0A 57 03 39 EB
   C2S #000109 len=68 dt=208.41ms E3 92 F5 9E 83 C7 4B 18 0A 0C E9 7A C8 D0 50 3E
   C2S #000111 len=17 dt=254.81ms 79 ED 45 95 55 64 25 84 A5 9C 4D 9A 1E F0 EA 82
   C2S #000113 len=17 dt=298.59ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F

S2C #000098 len=1165 -> respostas:
   C2S #000099 len=17 dt=0.44ms 5B 11 5D 24 F1 76 2C 00 F0 3B 0C F8 83 A8 AE A7
   C2S #000101 len=55 dt=40.27ms D0 E0 D4 BC BB AE C3 DD CD 7C 8E 46 08 66 1A 2C
   C2S #000103 len=17 dt=54.33ms 82 45 CB EB 8E 9B BB 97 39 93 88 33 47 1E 71 FD
   C2S #000104 len=45 dt=78.53ms 2A DE FC A9 5A 56 63 6D 9E 3C 24 BE B4 87 BF AB
   C2S #000106 len=17 dt=102.37ms DE E8 96 18 C9 51 EF 08 FC 37 99 0A 57 03 39 EB
   C2S #000109 len=68 dt=152.33ms E3 92 F5 9E 83 C7 4B 18 0A 0C E9 7A C8 D0 50 3E
   C2S #000111 len=17 dt=198.73ms 79 ED 45 95 55 64 25 84 A5 9C 4D 9A 1E F0 EA 82
   C2S #000113 len=17 dt=242.51ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F
   C2S #000115 len=25 dt=248.27ms 5F 15 13 96 B4 AD 54 1D 7D E6 E1 96 41 DA 13 A6
   C2S #000116 len=55 dt=260.16ms 66 21 0D 28 EC 34 5E 9E C3 99 D7 53 67 74 0E 0E

S2C #000102 len=1165 -> respostas:
   C2S #000103 len=17 dt=1.99ms 82 45 CB EB 8E 9B BB 97 39 93 88 33 47 1E 71 FD
   C2S #000104 len=45 dt=26.19ms 2A DE FC A9 5A 56 63 6D 9E 3C 24 BE B4 87 BF AB
   C2S #000106 len=17 dt=50.03ms DE E8 96 18 C9 51 EF 08 FC 37 99 0A 57 03 39 EB
   C2S #000109 len=68 dt=99.98ms E3 92 F5 9E 83 C7 4B 18 0A 0C E9 7A C8 D0 50 3E
   C2S #000111 len=17 dt=146.39ms 79 ED 45 95 55 64 25 84 A5 9C 4D 9A 1E F0 EA 82
   C2S #000113 len=17 dt=190.17ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F
   C2S #000115 len=25 dt=195.92ms 5F 15 13 96 B4 AD 54 1D 7D E6 E1 96 41 DA 13 A6
   C2S #000116 len=55 dt=207.81ms 66 21 0D 28 EC 34 5E 9E C3 99 D7 53 67 74 0E 0E
   C2S #000119 len=17 dt=278.03ms E5 1D 89 50 47 5A 8C 67 4F 5A F7 1D 33 DF AC 68
   C2S #000120 len=55 dt=302.55ms 97 0C 0A 97 2F 11 5A CF E6 72 70 75 F1 44 01 71

S2C #000105 len=1165 -> respostas:
   C2S #000106 len=17 dt=0.19ms DE E8 96 18 C9 51 EF 08 FC 37 99 0A 57 03 39 EB
   C2S #000109 len=68 dt=50.14ms E3 92 F5 9E 83 C7 4B 18 0A 0C E9 7A C8 D0 50 3E
   C2S #000111 len=17 dt=96.55ms 79 ED 45 95 55 64 25 84 A5 9C 4D 9A 1E F0 EA 82
   C2S #000113 len=17 dt=140.33ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F
   C2S #000115 len=25 dt=146.08ms 5F 15 13 96 B4 AD 54 1D 7D E6 E1 96 41 DA 13 A6
   C2S #000116 len=55 dt=157.98ms 66 21 0D 28 EC 34 5E 9E C3 99 D7 53 67 74 0E 0E
   C2S #000119 len=17 dt=228.19ms E5 1D 89 50 47 5A 8C 67 4F 5A F7 1D 33 DF AC 68
   C2S #000120 len=55 dt=252.71ms 97 0C 0A 97 2F 11 5A CF E6 72 70 75 F1 44 01 71
   C2S #000123 len=17 dt=270.03ms 55 8A 1C CD 07 9E 1D B2 06 04 3A BC F4 9C B9 7C
